"THREAD#","SEQUENCE#","FIRST_CHANGE#","FIRST_TIME","NEXT_TIME"
1,10803,3926733633189,2024-12-17 18:43:11.000,2024-12-17 22:00:14.000
1,10804,3926733665026,2024-12-17 22:00:14.000,2024-12-17 22:00:41.000
1,10805,3926733668600,2024-12-17 22:00:41.000,2024-12-17 22:43:11.000
1,10806,3926733682332,2024-12-17 22:43:11.000,2024-12-18 00:43:10.000
1,10807,3926733700282,2024-12-18 00:43:10.000,2024-12-18 00:44:33.000
1,10808,3926733700562,2024-12-18 00:44:33.000,2024-12-18 02:43:08.000
1,10809,3926733718619,2024-12-18 02:43:08.000,2024-12-18 06:43:11.000
1,10810,3926733754181,2024-12-18 06:43:11.000,2024-12-18 09:43:57.000
1,10811,3926733780695,2024-12-18 09:43:57.000,2024-12-18 10:43:09.000
1,10812,3926733789539,2024-12-18 10:43:09.000,2024-12-18 14:43:08.000
1,10813,3926733824690,2024-12-18 14:43:08.000,2024-12-18 17:00:49.000
1,10814,3926733844904,2024-12-18 17:00:49.000,2024-12-18 18:09:54.000
1,10815,3926733855981,2024-12-18 18:09:54.000,2024-12-18 18:43:08.000
1,10816,3926733861732,2024-12-18 18:43:08.000,2024-12-18 22:00:11.000
1,10817,3926733895450,2024-12-18 22:00:11.000,2024-12-18 22:00:42.000
1,10818,3926733898792,2024-12-18 22:00:42.000,2024-12-18 22:38:36.000
1,10819,3926733909540,2024-12-18 22:38:36.000,2024-12-18 22:43:08.000
1,10820,3926733910270,2024-12-18 22:43:08.000,2024-12-19 00:43:14.000
1,10821,3926733928023,2024-12-19 00:43:14.000,2024-12-19 00:44:35.000
1,10822,3926733928296,2024-12-19 00:44:35.000,2024-12-19 02:43:08.000
1,10823,3926733946252,2024-12-19 02:43:08.000,2024-12-19 06:43:10.000
1,10824,3926733981896,2024-12-19 06:43:10.000,2024-12-19 10:43:11.000
1,10825,3926734016704,2024-12-19 10:43:11.000,2024-12-19 14:43:09.000
1,10826,3926734051330,2024-12-19 14:43:09.000,2024-12-19 18:10:58.000
1,10827,3926734082374,2024-12-19 18:10:58.000,2024-12-19 18:43:08.000
1,10828,3926734087767,2024-12-19 18:43:08.000,2024-12-19 22:00:20.000
1,10829,3926734120508,2024-12-19 22:00:20.000,2024-12-19 22:00:56.000
1,10830,3926734124796,2024-12-19 22:00:56.000,2024-12-19 22:01:08.000
1,10831,3926734128817,2024-12-19 22:01:08.000,2024-12-19 22:43:08.000
1,10832,3926734135314,2024-12-19 22:43:08.000,2024-12-20 00:43:12.000
1,10833,3926734153068,2024-12-20 00:43:12.000,2024-12-20 00:44:35.000
1,10834,3926734153344,2024-12-20 00:44:35.000,2024-12-20 02:43:09.000
1,10835,3926734171195,2024-12-20 02:43:09.000,2024-12-20 06:43:08.000
1,10836,3926734207014,2024-12-20 06:43:08.000,2024-12-20 10:43:09.000
1,10837,3926734241744,2024-12-20 10:43:09.000,2024-12-20 14:43:09.000
1,10838,3926734276483,2024-12-20 14:43:09.000,2024-12-20 18:12:03.000
1,10839,3926734307772,2024-12-20 18:12:03.000,2024-12-20 18:43:09.000
1,10840,3926734313272,2024-12-20 18:43:09.000,2024-12-20 22:00:26.000
1,10841,3926734347736,2024-12-20 22:00:26.000,2024-12-20 22:00:51.000
1,10842,3926734351041,2024-12-20 22:00:51.000,2024-12-20 22:01:02.000
1,10843,3926734354868,2024-12-20 22:01:02.000,2024-12-20 22:43:11.000
1,10844,3926734361377,2024-12-20 22:43:11.000,2024-12-21 00:43:13.000
1,10845,3926734379204,2024-12-21 00:43:13.000,2024-12-21 00:44:36.000
1,10846,3926734379482,2024-12-21 00:44:36.000,2024-12-21 02:43:13.000
1,10847,3926734397953,2024-12-21 02:43:13.000,2024-12-21 06:00:18.000
1,10848,3926734431711,2024-12-21 06:00:18.000,2024-12-21 06:43:11.000
1,10849,3926734441209,2024-12-21 06:43:11.000,2024-12-21 10:02:58.000
1,10850,3926734474257,2024-12-21 10:02:58.000,2024-12-21 10:43:11.000
1,10851,3926734480741,2024-12-21 10:43:11.000,2024-12-21 14:03:03.000
1,10852,3926734513240,2024-12-21 14:03:03.000,2024-12-21 14:43:08.000
1,10853,3926734520794,2024-12-21 14:43:08.000,2024-12-21 18:03:13.000
1,10854,3926734553445,2024-12-21 18:03:13.000,2024-12-21 18:13:10.000
1,10855,3926734558599,2024-12-21 18:13:10.000,2024-12-21 18:43:11.000
1,10856,3926734564066,2024-12-21 18:43:11.000,2024-12-21 22:03:24.000
1,10857,3926734598304,2024-12-21 22:03:24.000,2024-12-21 22:03:36.000
1,10858,3926734601522,2024-12-21 22:03:36.000,2024-12-21 22:03:41.000
1,10859,3926734603888,2024-12-21 22:03:41.000,2024-12-21 22:43:08.000
1,10860,3926734609759,2024-12-21 22:43:08.000,2024-12-22 00:43:12.000
1,10861,3926734627798,2024-12-22 00:43:12.000,2024-12-22 00:44:35.000
1,10862,3926734628154,2024-12-22 00:44:35.000,2024-12-22 02:43:10.000
1,10863,3926734646332,2024-12-22 02:43:10.000,2024-12-22 06:00:16.000
1,10864,3926734681152,2024-12-22 06:00:16.000,2024-12-22 06:43:11.000
1,10865,3926734688855,2024-12-22 06:43:11.000,2024-12-22 10:03:57.000
1,10866,3926734721085,2024-12-22 10:03:57.000,2024-12-22 10:43:10.000
1,10867,3926734729071,2024-12-22 10:43:10.000,2024-12-22 14:04:36.000
1,10868,3926734762797,2024-12-22 14:04:36.000,2024-12-22 14:43:13.000
1,10869,3926734768410,2024-12-22 14:43:13.000,2024-12-22 18:04:19.000
1,10870,3926734800815,2024-12-22 18:04:19.000,2024-12-22 18:14:15.000
1,10871,3926734805978,2024-12-22 18:14:15.000,2024-12-22 18:43:09.000
1,10872,3926734811281,2024-12-22 18:43:09.000,2024-12-22 22:04:28.000
1,10873,3926734844087,2024-12-22 22:04:28.000,2024-12-22 22:04:40.000
1,10874,3926734847444,2024-12-22 22:04:40.000,2024-12-22 22:04:46.000
1,10875,3926734850126,2024-12-22 22:04:46.000,2024-12-22 22:43:09.000
1,10876,3926734855712,2024-12-22 22:43:09.000,2024-12-23 00:43:13.000
1,10877,3926734873610,2024-12-23 00:43:13.000,2024-12-23 00:44:36.000
1,10878,3926734873961,2024-12-23 00:44:36.000,2024-12-23 02:43:11.000
1,10879,3926734891859,2024-12-23 02:43:11.000,2024-12-23 06:43:10.000
1,10880,3926734927545,2024-12-23 06:43:10.000,2024-12-23 10:43:11.000
1,10881,3926734962328,2024-12-23 10:43:11.000,2024-12-23 11:49:21.000
1,10882,3926734972338,2024-12-23 11:49:21.000,2024-12-23 11:50:02.000
1,10883,3926734972512,2024-12-23 11:50:02.000,2024-12-23 11:50:13.000
1,10884,3926734972576,2024-12-23 11:50:13.000,2024-12-23 11:52:25.000
1,10885,3926734973005,2024-12-23 11:52:25.000,2024-12-23 11:52:34.000
1,10886,3926734973084,2024-12-23 11:52:34.000,2024-12-23 11:53:06.000
1,10887,3926734973206,2024-12-23 11:53:06.000,2024-12-23 11:54:10.000
1,10888,3926734973391,2024-12-23 11:54:10.000,2024-12-23 11:54:13.000
1,10889,3926734973434,2024-12-23 11:54:13.000,2024-12-23 11:54:16.000
1,10890,3926734973484,2024-12-23 11:54:16.000,2024-12-23 11:54:22.000
1,10891,3926734973544,2024-12-23 11:54:22.000,2024-12-23 11:54:25.000
1,10892,3926734973584,2024-12-23 11:54:25.000,2024-12-23 11:54:28.000
1,10893,3926734973633,2024-12-23 11:54:28.000,2024-12-23 11:54:46.000
1,10894,3926734973841,2024-12-23 11:54:46.000,2024-12-23 11:54:58.000
1,10895,3926734973902,2024-12-23 11:54:58.000,2024-12-23 11:55:01.000
1,10896,3926734974206,2024-12-23 11:55:01.000,2024-12-23 11:55:07.000
1,10897,3926734974869,2024-12-23 11:55:07.000,2024-12-23 11:55:26.000
1,10898,3926734975440,2024-12-23 11:55:26.000,2024-12-23 11:56:31.000
1,10899,3926734976166,2024-12-23 11:56:31.000,2024-12-23 11:57:31.000
1,10900,3926734976702,2024-12-23 11:57:31.000,2024-12-23 11:57:34.000
1,10901,3926734977163,2024-12-23 11:57:34.000,2024-12-23 11:58:31.000
1,10902,3926734977781,2024-12-23 11:58:31.000,2024-12-23 11:59:30.000
1,10903,3926734978418,2024-12-23 11:59:30.000,2024-12-23 12:00:31.000
1,10904,3926734979508,2024-12-23 12:00:31.000,2024-12-23 12:00:34.000
1,10905,3926734979700,2024-12-23 12:00:34.000,2024-12-23 12:01:31.000
1,10906,3926734979950,2024-12-23 12:01:31.000,2024-12-23 12:02:31.000
1,10907,3926734980116,2024-12-23 12:02:31.000,2024-12-23 12:03:31.000
1,10908,3926734980287,2024-12-23 12:03:31.000,2024-12-23 12:04:31.000
1,10909,3926734980459,2024-12-23 12:04:31.000,2024-12-23 12:04:34.000
1,10910,3926734980498,2024-12-23 12:04:34.000,2024-12-23 12:05:31.000
1,10911,3926734980733,2024-12-23 12:05:31.000,2024-12-23 12:06:31.000
1,10912,3926734980912,2024-12-23 12:06:31.000,2024-12-23 12:07:31.000
1,10913,3926734981133,2024-12-23 12:07:31.000,2024-12-23 12:07:37.000
1,10914,3926734981194,2024-12-23 12:07:37.000,2024-12-23 12:08:43.000
1,10915,3926734981382,2024-12-23 12:08:43.000,2024-12-23 12:09:41.000
1,10916,3926734981559,2024-12-23 12:09:41.000,2024-12-23 12:10:43.000
1,10917,3926734981740,2024-12-23 12:10:43.000,2024-12-23 12:11:43.000
1,10918,3926734981908,2024-12-23 12:11:43.000,2024-12-23 12:12:26.000
1,10919,3926734982042,2024-12-23 12:12:26.000,2024-12-23 12:13:31.000
1,10920,3926734982238,2024-12-23 12:13:31.000,2024-12-23 12:14:31.000
1,10921,3926734982410,2024-12-23 12:14:31.000,2024-12-23 12:15:31.000
1,10922,3926734982884,2024-12-23 12:15:31.000,2024-12-23 12:17:29.000
1,10923,3926734983187,2024-12-23 12:17:29.000,2024-12-23 12:18:30.000
1,10924,3926734983449,2024-12-23 12:18:30.000,2024-12-23 12:20:31.000
