timestamp,message
1760296160411,"Preparing ...
"
1760296160415,"Sun Oct 12 19:09:20 UTC 2025
"
1760296160421,"/etc/alternatives/jre/bin/java --add-exports=jdk.compiler/com.sun.tools.javac.util=ALL-UNNAMED --add-exports=jdk.naming.dns/com.sun.jndi.dns=java.naming --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.lang.reflect=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.math=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.text=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.base/java.nio=ALL-UNNAMED --add-opens=java.base/java.time=ALL-UNNAMED --add-opens=java.base/java.util.regex=ALL-UNNAMED --add-opens=java.base/java.lang.invoke=ALL-UNNAMED --add-opens=java.base/sun.nio.ch=ALL-UNNAMED --add-opens=java.base/sun.nio.cs=ALL-UNNAMED --add-opens=java.base/sun.util.calendar=ALL-UNNAMED --add-opens=java.base/sun.security.action=ALL-UNNAMED --add-opens=java.base/jdk.internal=ALL-UNNAMED --add-opens=java.base/jdk.internal.ref=ALL-UNNAMED --add-opens=java.base/jdk.internal.reflect=ALL-UNNAMED --add-opens=java.base/jdk.internal.util=ALL-UNNAMED --add-opens=java.base/jdk.internal.util.random=ALL-UNNAMED --add-opens=java.sql/java.sql=ALL-UNNAMED --add-opens=jdk.management/com.sun.management.internal=ALL-UNNAMED -XX:+IgnoreUnrecognizedVMOptions -Djavax.net.ssl.trustStore=/opt/amazon/certs/InternalAndExternalAndAWSTrustStore.jks -Djavax.net.ssl.trustStoreType=JKS -Djavax.net.ssl.trustStorePassword=amazon -DRDS_ROOT_CERT_PATH=/opt/amazon/certs/rds-combined-ca-bundle.pem -DREDSHIFT_ROOT_CERT_PATH=/opt/amazon/certs/redshift-ssl-ca-cert.pem -DRDS_TRUSTSTORE_URL=file:/opt/amazon/certs/InternalAndExternalAndAWSTrustStore.jks -cp /usr/share/aws/aws-glue-shuffle/*:/usr/share/aws/emr-glue-bootstrap/*:/usr/lib/spark/jars/*:/usr/lib/spark/conf:/usr/share/aws/aws-java-sdk-v2/*:/usr/share/aws/*:/usr/share/aws/hmclient/lib/aws-glue-datacatalog-spark-client.jar:/usr/share/aws/hmclient/lib/*:/usr/share/aws/iceberg/lib/*:/usr/share/aws/delta/lib/*:/usr/lib/hudi/*:/usr/share/aws/redshift/jdbc/*:/usr/share/aws/redshift/spark-redshift/lib/*:/usr/share/aws/glue-connectors/lib/*:/usr/share/aws/glue-pii-dependencies/lib/*:/usr/share/aws/datazone-openlineage-spark/lib/*:/usr/lib/hadoop/lib/*::/usr/lib/hadoop-lzo/lib/*:/usr/share/aws/aws-java-sdk/*:/usr/share/aws/emr/emrfs/conf:/usr/share/aws/emr/emrfs/lib/*:/usr/share/aws/emr/emrfs/auxlib/*:/usr/share/aws/emr/ddb/lib/emr-ddb-hadoop.jar:/usr/share/aws/emr/goodies/lib/emr-hadoop-goodies.jar:/usr/share/aws/emr/cloudwatch-sink/lib/*:/usr/share/aws/emr/security/conf:/usr/share/aws/emr/security/lib/*:/usr/lib/hadoop/*:/etc/hadoop/conf:/usr/share/java/Hive-JSON-Serde/* -Dlog4j2.configurationFile=/etc/spark/conf.dist/log4j2.properties com.amazonaws.services.glue.GlueBootstrap --conf spark.dynamicAllocation.enabled=true --conf spark.shuffle.service.enabled=true --conf spark.dynamicAllocation.minExecutors=1 --conf spark.dynamicAllocation.maxExecutors=1 --conf spark.executor.memory=10g --conf spark.driver.memory=10g --conf spark.network.timeout=600 --app_name maximo_dq_relatedrecord    --glue-di-packages-correlation-ids 20250828-143656_,20250828-143656_,6376818366,6376818366 --TempDir s3://aws-glue-assets-331875467123-us-gov-west-1/entergy-gov-data-core-code/temporary/ --internal-lib-urls https://prod-us-gov-west-1-package-distribution-artifacts-bucket.s3.us-gov-west-1.amazonaws.com/006/Glue5.0/aws-glue-dataplane-python/java17/5.0.704/ufak9W-AWSGlueDataplanePython-5.0.704.py.zip?X-Amz-Security-Token=FwoDYXdzEDIaDORPOBwnSmdXlcCnpiKuAdbrMvLu6jqym3J2Jztm3ePt0sll1dZAhg3ZUH5jDcgpYii5BxzBvA43o1QhP%2FIxKU4zAz7ZemIN%2Bq%2F9BE7kx%2FDzats4O1xmtRSFnk6xOKA%2BEnPMAmFr8wKOZEpz7VJAlP4OZOIMkkXU4mhw0mVzAyk%2BkvvdsZ%2F8%2FeeIRp%2Fw4rYMVA9VqE6nOVOrTdtZf5B%2BdZX1prek5Sn5XnwQBI82G5wcljynWDpDROzyrSMy%2FyjZ%2Ba%2FHBjIfCHP9JNYxmxEoUOOOFU%2Fj52EZvoNF%2BFDcoCokveRlkg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251012T190913Z&X-Amz-SignedHeaders=host&X-Amz-Credential=ASIARNA7EHT3K2OG3FFQ%2F20251012%2Fus-gov-west-1%2Fs3%2Faws4_request&X-Amz-Expires=1800&X-Amz-Signature=eb93723bd06cb2ca665230fe0c6859a060eebff96422ee4afe53be03438e5585,https://prod-us-gov-west-1-package-distribution-artifacts-bucket.s3.us-gov-west-1.amazonaws.com/006/Glue5.0/aws-glue-di-libs/java17/5.0.704/odvJng-aws-glue-di-package-5.0.704.jar?X-Amz-Security-Token=FwoDYXdzEDIaDORPOBwnSmdXlcCnpiKuAdbrMvLu6jqym3J2Jztm3ePt0sll1dZAhg3ZUH5jDcgpYii5BxzBvA43o1QhP%2FIxKU4zAz7ZemIN%2Bq%2F9BE7kx%2FDzats4O1xmtRSFnk6xOKA%2BEnPMAmFr8wKOZEpz7VJAlP4OZOIMkkXU4mhw0mVzAyk%2BkvvdsZ%2F8%2FeeIRp%2Fw4rYMVA9VqE6nOVOrTdtZf5B%2BdZX1prek5Sn5XnwQBI82G5wcljynWDpDROzyrSMy%2FyjZ%2Ba%2FHBjIfCHP9JNYxmxEoUOOOFU%2Fj52EZvoNF%2BFDcoCokveRlkg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251012T190913Z&X-Amz-SignedHeaders=host&X-Amz-Credential=ASIARNA7EHT3K2OG3FFQ%2F20251012%2Fus-gov-west-1%2Fs3%2Faws4_request&X-Amz-Expires=1800&X-Amz-Signature=13dc002305296cfdff5a74962c25c8d2c3b98cc0431d9fe323d662d957c1ec76,https://prod-us-gov-west-1-package-distribution-artifacts-bucket.s3.us-gov-west-1.amazonaws.com/006/Glue5.0/AwsGlueMLLibsPython/java17/5.0.380/3CvvA4-AwsGlueMLLibs.py.zip?X-Amz-Security-Token=FwoDYXdzEDIaDORPOBwnSmdXlcCnpiKuAdbrMvLu6jqym3J2Jztm3ePt0sll1dZAhg3ZUH5jDcgpYii5BxzBvA43o1QhP%2FIxKU4zAz7ZemIN%2Bq%2F9BE7kx%2FDzats4O1xmtRSFnk6xOKA%2BEnPMAmFr8wKOZEpz7VJAlP4OZOIMkkXU4mhw0mVzAyk%2BkvvdsZ%2F8%2FeeIRp%2Fw4rYMVA9VqE6nOVOrTdtZf5B%2BdZX1prek5Sn5XnwQBI82G5wcljynWDpDROzyrSMy%2FyjZ%2Ba%2FHBjIfCHP9JNYxmxEoUOOOFU%2Fj52EZvoNF%2BFDcoCokveRlkg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251012T190913Z&X-Amz-SignedHeaders=host&X-Amz-Credential=ASIARNA7EHT3K2OG3FFQ%2F20251012%2Fus-gov-west-1%2Fs3%2Faws4_request&X-Amz-Expires=1800&X-Amz-Signature=ef5e00cc654a0356183c25b623d69899ff57a046257ca2f485a86de3a32c5ec1,https://prod-us-gov-west-1-package-distribution-artifacts-bucket.s3.us-gov-west-1.amazonaws.com/006/Glue5.0/AwsGlueMLLibs/java17/5.0.380/dj5xOe-AwsGlueMLLibs.jar?X-Amz-Security-Token=FwoDYXdzEDIaDORPOBwnSmdXlcCnpiKuAdbrMvLu6jqym3J2Jztm3ePt0sll1dZAhg3ZUH5jDcgpYii5BxzBvA43o1QhP%2FIxKU4zAz7ZemIN%2Bq%2F9BE7kx%2FDzats4O1xmtRSFnk6xOKA%2BEnPMAmFr8wKOZEpz7VJAlP4OZOIMkkXU4mhw0mVzAyk%2BkvvdsZ%2F8%2FeeIRp%2Fw4rYMVA9VqE6nOVOrTdtZf5B%2BdZX1prek5Sn5XnwQBI82G5wcljynWDpDROzyrSMy%2FyjZ%2Ba%2FHBjIfCHP9JNYxmxEoUOOOFU%2Fj52EZvoNF%2BFDcoCokveRlkg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251012T190913Z&X-Amz-SignedHeaders=host&X-Amz-Credential=ASIARNA7EHT3K2OG3FFQ%2F20251012%2Fus-gov-west-1%2Fs3%2Faws4_request&X-Amz-Expires=1800&X-Amz-Signature=fc7d01156f3e1051a9d5a46787a280224703c9f1497a8e4f7539027a5f0ebc51 --config s3://entergy-govdatacore-dataeng-code-repo-dev/entergy-gov-data-core-code/config/maximo/dq/relatedrecord.yaml  --job_type data_quality --JOB_ID j_93a164e33afc70c883e5becadc30496b912ef0b2897167ec7bca8553cb79941a --extra-py-files s3://entergy-govdatacore-dataeng-code-repo-dev/entergy-gov-data-core-code/glue_packages/mosaic.zip,s3://entergy-govdatacore-dataeng-code-repo-dev/entergy-gov-data-core-code/glue_packages/sqlglot.zip,s3://entergy-govdatacore-dataeng-code-repo-dev/entergy-gov-data-core-code/glue_packages/yaml.zip   --JOB_RUN_ID jr_7cfdb218791a318a0a6c4e0f1efe0df749c9a0d6aa88d5dbf8d5cc48d670d4da_attempt_3 --scriptLocation s3://entergy-govdatacore-dataeng-code-repo-dev/entergy-gov-data-core-code/scripts/raw_dq_load.py  --tenant-internal glue --enable-auto-scaling true --JOB_NAME maximo_dq_relatedrecord
"
1760296160452,"openjdk version ""17.0.16"" 2025-07-15 LTS
"
1760296160452,"OpenJDK Runtime Environment Corretto-17.0.16.8.1 (build 17.0.16+8-LTS)
"
1760296160452,"OpenJDK 64-Bit Server VM Corretto-17.0.16.8.1 (build 17.0.16+8-LTS, mixed mode, sharing)
"
1760296161682,"25/10/12 19:09:21 INFO GlueBootstrap: Glue Bootstrapping...
"
1760296161686,"25/10/12 19:09:21 INFO GlueBootstrap: Glue Bootstrapping the driver...
"
1760296161713,"25/10/12 19:09:21 INFO GlueBootstrap: Downloading Glue libs...
"
1760296161726,"25/10/12 19:09:21 INFO GlueBootstrap: Downloading customer supplied extra files...
"
